time,open,high,low,close,Long,Short,Kagi,MA
1672531200,9.9639,10.0201,9.9023,9.9993,NaN,NaN,NaN,NaN
1672533000,9.9769,9.9864,9.9301,9.9864,NaN,NaN,NaN,NaN
1672534800,9.9712,10.0431,9.9712,10.0429,NaN,NaN,NaN,NaN
1672536600,10.0429,10.0496,10.0202,10.0205,NaN,NaN,NaN,10.00029
1672538400,10.0116,10.0649,9.9968,10.0367,0,0,10.0429,10.009440000000001
1672540200,10.036,10.0525,9.9924,9.9924,0,0,10.0429,10.023579999999999
1672542000,9.9934,9.9934,9.9001,9.9488,0,0,10.0429,10.014769999999999
1672543800,9.9498,9.9549,9.9258,9.9549,0,0,10.0429,9.9863
1672545600,9.9631,9.9631,9.8574,9.8843,0,0,10.0429,9.97246
1672547400,9.8699,9.8781,9.8197,9.8197,0,0,10.0429,9.92619
1672549200,9.8293,9.8361,9.7548,9.7732,0,0,10.0429,9.880289999999999
1672551000,9.7551,9.7871,9.722,9.7871,1,0,9.7732,9.821119999999999
1672552800,9.8387,9.8387,9.8011,9.825,0,1,9.825,9.81486
1672554600,9.7952,9.7991,9.771,9.7724,0,0,9.825,9.803639999999998
1672556400,9.7967,9.7976,9.692,9.7179,1,0,9.7179,9.80049
1672558200,9.7245,9.7831,9.7245,9.7805,0,1,9.7805,9.771719999999998
1672560000,9.7754,9.7754,9.7291,9.7382,0,0,9.7805,9.76637
1672561800,9.7257,9.7322,9.6975,9.7119,1,0,9.7119,9.74747
1672563600,9.7234,9.7544,9.7234,9.7544,0,0,9.7119,9.7346
1672565400,9.7652,9.786,9.7651,9.786,0,0,9.7119,9.74578
1672567200,9.7824,9.8,9.7824,9.7844,0,0,9.7119,9.75977
1672569000,9.7851,9.7851,9.7778,9.7778,0,0,9.7119,9.77414
1672570800,9.8163,9.9609,9.8093,9.9551,0,0,9.7119,9.79505
1672572600,9.8879,9.9404,9.8877,9.9404,0,0,9.7119,9.835310000000002
1672574400,9.9349,9.9349,9.9349,9.9349,0,0,9.7119,9.8821
1672576200,9.9289,9.9304,9.9289,9.9304,0,0,9.7119,9.911240000000001
1672578000,9.953,9.953,9.9448,9.9448,0,1,9.9551,9.935640000000001
1672579800,9.875,9.8806,9.85,9.85,1,0,9.85,9.91517
1672581600,9.8779,9.8914,9.8779,9.8847,0,0,9.8847,9.89715
1672583400,9.8895,9.8895,9.837,9.837,0,0,9.8847,9.88947
1672585200,9.8522,9.8522,9.7951,9.7951,0,0,9.7951,9.87081
1672587000,9.8152,9.8688,9.8052,9.8688,0,0,9.7951,9.84743
1672588800,9.8836,9.8874,9.881,9.881,0,0,9.7951,9.85739
1672590600,9.8851,9.8851,9.8781,9.8781,0,0,9.7951,9.86738
1672592400,9.8948,9.925,9.887,9.9212,0,0,9.7951,9.88169
1672594200,9.9315,9.9357,9.9302,9.9357,0,0,9.7951,9.90642
1672596000,9.9549,10.0415,9.9549,10.0244,0,1,10.0244,9.928880000000001
1672597800,10.0127,10.0127,9.985,9.99,0,0,10.0244,9.96733
1672599600,10.0138,10.0351,9.995,10.015,0,0,10.0244,9.99346
1672601400,10.0169,10.0169,9.9382,9.9382,1,0,9.9382,10.00893
1672603200,9.9461,10.0181,9.9457,10.0181,0,1,10.0181,9.98754
1672605000,10.031,10.031,9.9847,9.9847,0,0,10.0181,10.000989999999998
1672606800,9.9618,9.9712,9.9506,9.9674,0,0,10.0181,9.98493
1672608600,9.9697,9.9844,9.9638,9.9844,0,0,10.0181,9.97723
1672610400,9.976,9.9812,9.976,9.9812,0,0,10.0181,9.976769999999998
1672612200,9.9856,10.005,9.9684,9.9684,0,0,10.0181,9.977160000000001
1672614000,10.0202,10.0339,9.9854,9.9854,1,0,9.9674,9.995930000000001
1672615800,9.9858,9.9994,9.9471,9.9994,0,1,9.9994,9.995099999999999
1672617600,9.9844,9.9844,9.9177,9.9177,0,0,9.9994,9.9921
1672619400,9.8889,9.9104,9.888,9.9056,0,0,9.9994,9.950059999999999
1672621200,9.917,9.917,9.8197,9.8573,0,0,9.9994,9.92893
1672623000,9.8701,9.8701,9.8533,9.8533,0,0,9.9994,9.89936
1672624800,9.8475,9.8687,9.845,9.8687,1,0,9.8533,9.87232
1672626600,9.8949,9.9234,9.8949,9.9234,0,0,9.8533,9.877930000000001
1672628400,9.9239,9.9239,9.9239,9.9239,0,0,9.8533,9.894540000000001
1672630200,9.9273,10.017,9.9273,9.9948,0,1,9.9948,9.91182
1672632000,10.004,10.0312,9.9647,9.9647,0,0,9.9948,9.95406
1672633800,9.9718,9.985,9.9569,9.9689,0,0,9.9948,9.96777
1672635600,9.9918,9.9918,9.944,9.9745,0,0,9.9948,9.98179
1672637400,9.9411,9.9809,9.9411,9.9803,1,0,9.9647,9.96874
1672639200,10.0066,10.0143,9.9968,9.9968,0,0,9.9647,9.98051
1672641000,10.0005,10.0009,9.9591,9.9688,0,0,9.9647,9.98958
1672642800,9.9813,11.94,9.9813,11.0044,0,0,9.9647,9.9881
1672644600,11.001,11.1239,10.9238,11.0766,0,0,9.9647,10.39555
1672646400,11.0834,11.3411,11.0288,11.2731,0,1,11.2731,10.72997
1672648200,11.2704,11.3471,11.1727,11.1771,0,0,11.2731,11.03151
1672650000,11.1771,11.1791,11.0416,11.1365,1,0,11.1365,11.16874
1672651800,11.1791,11.2068,11.1791,11.2068,0,1,11.2068,11.187190000000001
1672653600,11.1303,11.1303,10.936,10.9702,1,0,10.9702,11.16831
1672655400,10.9891,11.0236,10.9549,11.0236,0,0,11.0236,11.08826
1672657200,11.0178,11.021,10.9837,10.9837,0,0,11.0236,11.047820000000002
1672659000,10.9496,11.0134,10.9137,10.9981,0,0,10.9837,10.996030000000001
1672660800,11.0368,11.1403,11.0261,11.1035,0,0,10.9837,11.00207
1672662600,11.1211,11.1999,11.0958,11.1289,0,0,10.9837,11.051179999999999
1672664400,11.1408,11.1422,11.0639,11.1297,0,0,10.9837,11.09497
1672666200,11.1195,11.1195,11.0675,11.1087,0,0,10.9837,11.11794
1672668000,11.1276,11.1791,11.1147,11.1665,0,1,11.1665,11.12716
1672669800,11.1678,11.1678,11.0903,11.1097,0,0,11.1665,11.143379999999999
1672671600,11.1357,11.1489,11.0786,11.0998,0,0,11.1665,11.14209
1672673400,11.1512,11.2254,11.1212,11.125,0,0,11.1665,11.14751
1672675200,11.131,11.143,11.1001,11.1201,0,0,11.1665,11.14168
1672677000,11.1552,11.179,11.097,11.1037,1,0,11.0998,11.14519
1672678800,11.0972,11.1519,11.0828,11.15,0,0,11.0998,11.12676
1672680600,11.1476,11.1612,11.1429,11.1473,0,0,11.0998,11.132340000000001
1672682400,11.1423,11.2025,11.1423,11.1691,0,0,11.0998,11.13616
1672684200,11.1516,11.1676,11.1464,11.1464,0,1,11.1691,11.142570000000001
1672686000,11.1368,11.1368,11.1233,11.1328,1,0,11.1328,11.14342
1672687800,11.1383,11.479,11.1383,11.2843,0,0,11.1328,11.14091
1672689600,11.2503,11.2739,11.1885,11.2728,0,0,11.1328,11.18413
1672691400,11.2852,11.3471,11.2694,11.3425,0,1,11.3425,11.230509999999999
1672693200,11.3514,11.3927,11.3102,11.3102,0,0,11.3102,11.290009999999999
1672695000,11.3601,11.4286,11.3348,11.3744,0,0,11.3744,11.331529999999999
1672696800,11.374,11.3904,11.3195,11.3195,0,0,11.3744,11.35643
1672698600,11.2857,11.2997,11.258,11.2771,1,0,11.2771,11.333639999999999
1672700400,11.2737,11.3135,11.2737,11.3135,0,0,11.2771,11.306000000000001
1672702200,11.3289,11.3622,11.2719,11.2914,0,0,11.2771,11.30821
1672704000,11.2948,11.339,11.23,11.313,0,0,11.2771,11.2999
1672705800,11.2578,11.3323,11.2578,11.3102,0,1,11.3135,11.28471
1672707600,11.294,11.3125,11.092,11.092,0,0,11.3135,11.28679
1672709400,11.132,11.1727,11.0143,11.096,1,0,11.092,11.222040000000002
1672711200,11.0707,11.1566,11.0707,11.1378,0,0,11.092,11.15246
1672713000,11.1353,11.1791,11.1353,11.1514,0,0,11.092,11.13113
1672714800,11.1167,11.1579,11.0876,11.1352,0,0,11.092,11.114610000000003
1672716600,11.1778,11.2347,11.1706,11.2347,0,0,11.092,11.140260000000001
1672718400,11.2166,11.2973,11.2166,11.2479,0,0,11.092,11.17685
1672720200,11.2466,11.377,11.2463,11.3402,0,0,11.092,11.210849999999999
1672722000,11.305,11.863,11.2872,11.6906,0,0,11.092,11.257079999999998
1672723800,11.6397,11.7911,11.5994,11.7727,0,0,11.092,11.418359999999998
1672725600,11.8018,12.0277,11.7568,12.0194,0,1,12.0194,11.59829
1672727400,12.0266,12.0266,11.7445,11.7694,1,0,11.7694,11.80962
1672729200,11.7729,11.8847,11.7444,11.8323,0,0,11.7694,11.84147
1672731000,11.8506,11.9903,11.8506,11.9521,0,1,11.9521,11.85761
1672732800,11.9311,12.0159,11.7737,11.7737,0,0,11.9521,11.88486
1672734600,11.8064,11.8064,11.7134,11.7865,0,0,11.9521,11.849300000000001
1672736400,11.8079,11.8282,11.7538,11.7538,1,0,11.7538,11.83636
1672738200,11.7449,11.8373,11.7449,11.8218,0,0,11.7538,11.794720000000002
1672740000,11.8668,11.8668,11.8237,11.8581,0,0,11.7538,11.81241
1672741800,11.843,11.937,11.8429,11.8938,0,0,11.7538,11.82701
1672743600,11.8752,11.9887,11.8752,11.9772,0,1,11.9772,11.850829999999998
1672745400,11.9761,12.0092,11.8432,11.8432,0,0,11.9772,11.90828
1672747200,11.85,11.85,11.806,11.8171,0,0,11.9772,11.892170000000002
1672749000,11.8385,11.8725,11.8061,11.8271,1,0,11.8171,11.87314
1672750800,11.8696,11.9261,11.8696,11.8783,0,0,11.8171,11.866999999999999
1672752600,11.8807,12.0777,11.8802,12.0336,0,0,11.8171,11.865860000000001
