time,open,high,low,close
1640995200,46284.07,46687.22,46284.07,46668.54
1640998800,46607.57,46870.01,46549.91,46768.23
1641002400,46865.2,46865.2,46784.91,46802.06
1641006000,46772.87,46849.46,46770.56,46822.03
1641009600,46860,46860,46615.72,46805.16
1641013200,46687.91,47484.41,46687.91,47234.38
1641016800,47209.67,47209.67,47023.6,47023.6
1641020400,46962.98,47165.65,46961.24,47165.65
1641024000,47306.44,47306.44,47079.17,47079.17
1641027600,47160.39,47160.39,46958.5,47022.44
1641031200,47138.09,47219.08,46730.38,46892.4
1641034800,46880.95,46977.56,46813.06,46813.06
1641038400,46937.64,47092.52,46937.64,47090.18
1641042000,47037.35,47175.38,47000.38,47000.38
1641045600,47012.62,47072.42,46953.79,46953.79
1641049200,46977.5,47409.19,46977.5,47240.2
1641052800,47400,47497.12,47296.09,47296.09
1641056400,47335.32,47946.05,47230.55,47836.47
1641060000,47797.37,47814.99,47417.3,47537.59
1641063600,47602.43,47602.43,47339.74,47375.8
1641067200,47339.74,47575.42,47338.98,47461.2
1641070800,47447.59,47501.45,47297.54,47297.54
1641074400,47355.55,47363.9,47272.81,47272.81
1641078000,47479.31,47790,47363.35,47761.86
1641081600,47690,47690,47465.6,47676.32
1641085200,47517.18,47563.46,47338.09,47347.02
1641088800,47377.33,47446.07,47300.04,47400.02
1641092400,47356.75,47473.33,47303.5,47349.23
1641096000,47405.51,47405.51,46847.46,46903.5
1641099600,46877.65,47032.08,46877.65,47032.08
1641103200,47059.82,47210.5,47059.82,47184.64
1641106800,47124.91,47210.51,47124.91,47210.51
1641110400,47070.99,47211.74,47070.99,47210.64
1641114000,47224.34,47450,47216.8,47347.48
1641117600,47330.54,47330.54,47267.45,47270.12
1641121200,47223.86,47351.77,47223.86,47282.89
1641124800,47245.31,47402.74,47059.21,47325.77
1641128400,47271.48,47271.48,47144.88,47152.69
1641132000,47113.07,47149.81,47075.15,47149.81
1641135600,47130,47349.82,47130,47349.82
1641139200,47346.8,47858.02,47346.8,47854.6
1641142800,47838.63,47951.12,47402.96,47441.35
1641146400,47380.45,47380.45,46792.34,47000
1641150000,47058.91,47176.03,45635.81,46934.4
1641153600,46916.21,47046.73,46911.8,47023.59
1641157200,46990,47129.6,46987.09,47090.83
1641160800,47042.77,47398.7,47042.76,47261.63
1641164400,47296.99,47409.19,47296.99,47335.74
1641168000,47335.74,47335.74,47129.9,47141.52
1641171600,47089.86,47092.31,47000,47091.73
1641175200,47090.92,47090.92,46915.61,46915.61
1641178800,47079.49,47084.56,46750.01,46782.92
1641182400,46844.56,46939.83,46826.93,46826.93
1641186000,46834.9,47169.82,46834.9,47169.82
1641189600,47040,47044.28,46967.37,47044.28
1641193200,46881.05,47001.94,46881.05,47001.94
1641196800,47047.58,47052.88,46946.5,46946.5
1641200400,47105.12,47105.12,46788.16,46990.82
1641204000,47046.69,47210.51,46990.89,47173.82
1641207600,47208.71,47395.3,47208.71,47395.3
1641211200,47394.26,47529.58,47184.37,47184.37
1641214800,47276.84,47326.04,47184.06,47184.06
1641218400,47116.37,47238.59,46847.46,46864.04
