time,open,high,low,close
1672531200,16524.41,16532.52,16501.72,16532.46
1672533000,16533,16533,16500.63,16526.09
1672534800,16528.29,16532.36,16518.79,16524.5
1672536600,16524.01,16546.99,16524.01,16546.99
1672538400,16537.7,16554.6,16529.8,16544.06
1672540200,16548.28,16549.98,16529.82,16539.38
1672542000,16536.57,16536.57,16508.76,16524.29
1672543800,16521.24,16537.4,16521.05,16521.36
1672545600,16530.82,16533.6,16514.69,16519.75
1672547400,16520.25,16525.28,16516,16520.57
1672549200,16522.7,16524.37,16511.38,16519.68
1672551000,16520.92,16527.99,16515.23,16527.99
1672552800,16532.16,16547.21,16530.46,16546.19
1672554600,16542.64,16543.41,16537.74,16539.14
1672556400,16541.2,16542.58,16497.67,16519.7
1672558200,16521.36,16529.7,16503.73,16528.14
1672560000,16528.04,16532.56,16513.29,16520.83
1672561800,16522.61,16524.07,16508.11,16512.54
1672563600,16513.58,16521.96,16506.31,16515.05
1672565400,16517.25,16541.01,16517.25,16536.91
1672567200,16536.36,16545.96,16532.7,16545.96
1672569000,16542.29,16554.4,16535.13,16548.68
1672570800,16549.78,16555.37,16543.03,16544.59
1672572600,16545.3,16551.88,16545.3,16550.51
1672574400,16555.97,16569.03,16549.34,16568.3
1672576200,16564.17,16564.17,16555.13,16561.92
1672578000,16563.21,16566.58,16542.43,16549.37
1672579800,16551.81,16551.81,16539,16548.08
1672581600,16550.12,16556.81,16545.02,16554.73
1672583400,16556.68,16558.65,16540.15,16540.15
1672585200,16543.13,16550.51,16536.43,16541.49
1672587000,16543.93,16559.44,16543.49,16557.02
1672588800,16556.76,16579.11,16556.43,16579.11
1672590600,16576.68,16580.1,16562.42,16565.71
1672592400,16566.53,16595.36,16563.57,16585.01
1672594200,16583.79,16587.26,16573.04,16580.41
1672596000,16583.67,16601.18,16583.67,16596.28
1672597800,16593.19,16599.76,16587.32,16591.32
1672599600,16592.88,16621.93,16592.88,16618.76
1672601400,16621.24,16621.95,16595.74,16599.38
1672603200,16602.43,16628.2,16602.21,16616.8
1672605000,16622.03,16622.04,16603.18,16604.93
1672606800,16606.11,16607.8,16593.68,16600.62
1672608600,16599.82,16608.11,16596.9,16607.76
1672610400,16608.8,16614.25,16588.6,16596.18
1672612200,16597.86,16603.13,16589.7,16603.13
1672614000,16605.15,16622.41,16604.27,16607.64
1672615800,16608.97,16621.52,16605,16617.57
1672617600,16619.93,16628.5,16595.97,16601
1672619400,16590.56,16597.22,16585.32,16590.73
1672621200,16586.77,16588.99,16549.68,16566.55
1672623000,16570.4,16578.6,16563.24,16569.44
1672624800,16566.05,16581.48,16558.59,16580.91
1672626600,16580.91,16596.24,16576.4,16590.14
1672628400,16587.18,16596.3,16581.04,16582.14
1672630200,16582.04,16704.57,16582.04,16662.79
1672632000,16667.05,16674.12,16634.14,16642
1672633800,16639.92,16648.92,16631,16637.79
1672635600,16642.38,16644.36,16621.09,16635.07
1672637400,16636.19,16660.69,16626.1,16648.93
1672639200,16648.93,16661.86,16645.56,16647.91
1672641000,16645.6,16647.31,16636.33,16642.86
1672642800,16639.8,16756.38,16639.8,16735.62
1672644600,16736.35,16761.36,16717.84,16720.59
1672646400,16724.47,16768.44,16710.01,16737.39
1672648200,16737.6,16753.48,16726.32,16733.36
1672650000,16734.53,16745.34,16719.65,16722.75
1672651800,16721.86,16734.08,16712.24,16716.86
1672653600,16719.73,16760.99,16705.04,16732.56
1672655400,16733.21,16739.3,16723.42,16726.34
1672657200,16725.64,16731.04,16716.03,16718.78
1672659000,16719.09,16737.05,16705.13,16731.46
1672660800,16735.94,16745.91,16729.23,16740.04
1672662600,16738.84,16738.87,16719.44,16719.44
1672664400,16719.18,16723.65,16713.99,16718.4
1672666200,16718.57,16720.82,16686.36,16695.12
1672668000,16695.56,16709.07,16689.37,16689.37
1672669800,16690.76,16703.07,16671.83,16698.85
1672671600,16700.85,16725.36,16693.01,16717.61
1672673400,16719.31,16750.18,16719.31,16735.13
1672675200,16737.51,16739.48,16720.04,16730.2
1672677000,16733.23,16737.48,16707.2,16708.66
1672678800,16712.46,16718.78,16708.36,16717.63
1672680600,16719.5,16723.45,16711.53,16713.81
1672682400,16717.84,16717.84,16709.14,16709.14
