time,open,high,low,close
1438905600,3,3.00001,3,3
1438992000,3,3,0.15,1.19999
1439251200,0.79969,1.15,0.65038,0.99
1439337600,1,1.288,0.905,1.288
1439424000,1.2628,1.8848,1.2628,1.8848
1439510400,1.88345,2.1,1.79489,1.79489
1439596800,1.7,1.79,1.5,1.79
1439683200,1.65,1.65,0.5,1.5893
1439769600,1.50539,1.58,1.25,1.29638
1439856000,1.15,1.36163,0.98998,1.10001
1439942400,1.10001,1.24,1.10001,1.24
1440028800,1.3,1.5218,1.3,1.5218
1440115200,1.45061,1.53,1.43588,1.43588
1440201600,1.41,1.41,1.4,1.4
1440288000,1.35,1.35002,1.31,1.35
1440374400,1.33,1.34,1.23804,1.23804
1440460800,1.22031,1.277,1.22031,1.27119
1440547200,1.11099,1.2,1.08253,1.18
1440633600,1.18818,1.18818,1.13646,1.13646
1440720000,1.21733,1.3,1.15219,1.295
1440806400,1.16415,1.1795,1.153,1.1795
1440892800,1.21,1.35,1.17189,1.32
1440979200,1.22,1.32,0.90001,1.30651
1441065600,1.31241,1.38,1.31241,1.36
1441152000,1.36,1.37199,1.14032,1.32795
1441238400,1.3,1.3,1.23357,1.23357
1441411200,1.29705,1.37,1.29705,1.37
1441497600,1.385,1.385,1.3351,1.34
1441584000,1.27561,1.27561,1.27561,1.27561
1441670400,1.26397,1.26397,1.26349,1.26349
1441756800,1.21,1.21,1.21,1.21
1441843200,1.19,1.21279,1.12001,1.1857
1441929600,1.15,1.16397,0.92422,0.92422
1442016000,0.99999,1.14639,0.98,1.14639
1442102400,1.013,1.013,0.88367,0.88557
1442188800,0.96222,0.96223,0.88495,0.955
1442275200,0.80405,1,0.80404,0.95
1442361600,0.95625,0.95625,0.93634,0.93634
1442448000,0.82383,0.875,0.82383,0.875
1442534400,0.8751,0.87999,0.85226,0.85226
1442620800,0.87,0.89,0.80129,0.89
1442707200,0.88,0.95,0.88,0.94116
1442880000,0.8611,0.8611,0.80588,0.80588
1442966400,0.91,0.91,0.91,0.91
1443052800,0.80045,0.80045,0.8,0.8
1443139200,0.75286,0.76,0.68233,0.68233
1443225600,0.68049,0.77032,0.68049,0.77032
1443312000,0.70071,0.70077,0.70071,0.70077
1443398400,0.70075,0.7047,0.6,0.6
1443484800,0.6,0.68163,0.5,0.68163
1443571200,0.50457,0.74001,0.50457,0.71365
1443657600,0.71364,0.71364,0.65454,0.65479
1443744000,0.66601,0.66601,0.66467,0.66467
1443830400,0.67467,0.6796,0.67467,0.6796
1443916800,0.67467,0.67467,0.60954,0.60954
1444003200,0.60777,0.60777,0.60777,0.60777
1444089600,0.60914,0.65114,0.60914,0.65114
1444176000,0.61,0.61101,0.6,0.6
1444262400,0.6,0.64,0.6,0.62
1444348800,0.6303,0.6352,0.5701,0.6352
1444521600,0.59931,0.59934,0.59931,0.59934
1444608000,0.63899,0.63899,0.63,0.63
1444694400,0.63463,0.65,0.60163,0.60166
1444780800,0.599,0.599,0.48323,0.48324
1444867200,0.55,0.56,0.51627,0.56
1444953600,0.56224,0.56224,0.525,0.525
1445040000,0.525,0.54,0.52001,0.52299
1445126400,0.52,0.52,0.505,0.505
1445212800,0.505,0.505,0.48207,0.5
1445299200,0.4805,0.4805,0.44,0.44
1445385600,0.43,0.47186,0.41999,0.41999
1445472000,0.44126,0.609,0.41101,0.609
1445558400,0.53509,0.6,0.50001,0.56491
1445644800,0.52407,0.55607,0.51,0.55607
1445731200,0.59998,0.67,0.58747,0.62
1445817600,0.66221,0.70604,0.65,0.70604
1445904000,0.71095,0.90099,0.70117,0.83
1445990400,0.855,1.01,0.82,0.99
1446076800,1,1.19999,0.97174,1.12287
1446163200,1.19,1.34,1.12063,1.1385
1446249600,0.95019,1.01001,0.86764,0.86764
1446336000,0.97,0.99,0.97,0.99
1446422400,0.97526,1.06,0.97526,0.9878
1446508800,1.019,1.06,0.84254,1.06
1446595200,0.92084,0.92084,0.79875,0.799
1446681600,1.00474,1.00484,0.82634,0.87638
1446768000,0.87641,0.98987,0.79,0.98987
1446854400,0.88,0.93,0.86465,0.93
1446940800,0.8945,1,0.8945,1
1447027200,1,1.078,0.89,0.998
1447113600,1,1,0.9,0.9
1447200000,0.94,0.94,0.73,0.75
