time,open,high,low,close
1672531200,1195.98,1196.49,1194.38,1196.45
1672533000,1196.24,1196.24,1192.41,1193.71
1672534800,1193.95,1195.84,1193.8,1195.42
1672536600,1195.3,1196.51,1193.74,1196.05
1672538400,1195.44,1196.05,1193.84,1195.99
1672540200,1195.83,1196.82,1195.23,1195.44
1672542000,1195.06,1195.06,1191.67,1193.51
1672543800,1193.42,1194.4,1193.28,1194.19
1672545600,1193.39,1194.28,1190.85,1192.21
1672547400,1192.43,1192.81,1191.86,1192.81
1672549200,1193.01,1194.18,1192.61,1194.11
1672551000,1193.99,1194.52,1193.44,1194.33
1672552800,1194.5,1195.24,1193.74,1194.72
1672554600,1194.8,1194.85,1193.86,1194.77
1672556400,1194.96,1195.11,1192.5,1194.18
1672558200,1194.29,1195.53,1193.46,1195.32
1672560000,1194.94,1195.88,1194.3,1194.94
1672561800,1195.33,1195.33,1193.88,1194.53
1672563600,1194.19,1195.75,1194.01,1194.64
1672565400,1194.85,1196.5,1194.85,1196.32
1672567200,1196.45,1196.5,1195.65,1196.17
1672569000,1195.96,1197.28,1195.32,1197.28
1672570800,1197.35,1197.48,1196,1196.03
1672572600,1196.07,1196.37,1195.65,1196.17
1672574400,1196.13,1198.85,1195.72,1198.85
1672576200,1198.48,1198.49,1196.97,1197.32
1672578000,1197.5,1197.5,1195.56,1195.98
1672579800,1195.92,1195.92,1193.29,1195.1
1672581600,1195.3,1195.82,1194.84,1195.69
1672583400,1195.78,1195.78,1194.38,1194.82
1672585200,1194.77,1195.11,1194.08,1195.01
1672587000,1195.07,1196.74,1195.06,1196.59
1672588800,1196.87,1197.47,1196,1196.85
1672590600,1197.65,1198.09,1196.51,1197.32
1672592400,1197.48,1203.31,1197.48,1201.02
1672594200,1201.1,1201.77,1200.12,1200.63
1672596000,1201.03,1202.98,1201.03,1201.29
1672597800,1201.41,1201.99,1200.7,1201
1672599600,1201.42,1204.18,1201.42,1203.3
1672601400,1203.39,1203.39,1201.46,1201.98
1672603200,1202.1,1204.58,1201.43,1203.14
1672605000,1203.28,1203.72,1201.34,1201.34
1672606800,1201.57,1202.13,1200.44,1202
1672608600,1202.04,1203.12,1202.03,1202.61
1672610400,1202.85,1202.88,1202.08,1202.36
1672612200,1202.35,1202.67,1201.04,1201.31
1672614000,1200.78,1202.5,1200.03,1200.12
1672615800,1201.07,1201.35,1199.46,1199.97
1672617600,1200.7,1201.19,1197.81,1198.04
1672619400,1197.6,1198.61,1197.52,1198.18
1672621200,1198.17,1198.17,1192.91,1196.01
1672623000,1195.35,1196.32,1194.95,1195.23
1672624800,1194.82,1196.42,1194.73,1195.83
1672626600,1196.18,1197.28,1195.96,1196.92
1672628400,1196.59,1197.42,1196.4,1197.17
1672630200,1197.04,1203.46,1197.04,1201.75
1672632000,1202.14,1202.72,1199.91,1200.93
1672633800,1201.04,1201.91,1200.39,1201.52
1672635600,1201.85,1201.85,1200.09,1201.73
1672637400,1201.51,1202.98,1201.23,1202.54
1672639200,1202.65,1203.94,1202.64,1203.04
1672641000,1202.1,1202.1,1200.53,1201.38
1672642800,1201.58,1219.68,1201.46,1213.09
1672644600,1213.37,1216.32,1212.02,1212.84
1672646400,1213.27,1215.97,1212.73,1215.16
1672648200,1215.09,1217.09,1214.53,1215.89
1672650000,1215.99,1218.62,1215.61,1217.08
1672651800,1217.26,1219.28,1216.97,1217.19
1672653600,1217.15,1223.65,1216.57,1218.18
1672655400,1218.3,1219.26,1216.9,1217.73
1672657200,1217.57,1217.93,1215.7,1216.01
1672659000,1216.05,1217.14,1214,1217.14
1672660800,1217.34,1218.45,1216.82,1217.36
1672662600,1217.31,1217.95,1216.46,1216.46
1672664400,1216.75,1216.75,1215.16,1216.23
1672666200,1216.38,1216.38,1213.78,1214.78
1672668000,1214.94,1217.98,1214.84,1215.56
1672669800,1216.17,1216.82,1214.95,1216.79
1672671600,1216.78,1219.97,1215.5,1218.65
1672673400,1218.52,1220.55,1218.28,1218.65
1672675200,1219.13,1219.57,1218.24,1218.31
1672677000,1218.31,1218.49,1216.19,1216.5
1672678800,1216.52,1217.52,1215.68,1216.93
1672680600,1216.78,1217.33,1215.49,1216.92
1672682400,1217.29,1218.2,1216.54,1217.55
1672684200,1217.84,1219.15,1217.29,1217.8
1672686000,1217.84,1218.41,1217.34,1217.39
1672687800,1217.46,1219.1,1217.44,1218.85
1672689600,1218.66,1218.66,1216.36,1218.2
1672691400,1218.25,1218.48,1217.54,1218.26
1672693200,1218.48,1219.75,1217.74,1218.17
1672695000,1218.23,1223.54,1218.14,1219.47
1672696800,1219.46,1219.9,1217.05,1217.18
1672698600,1217.39,1217.95,1211.79,1215.43
1672700400,1215.48,1217.61,1213.11,1215.91
1672702200,1216.26,1216.56,1213.65,1214.05
